id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_hotel,jumlah_hotel,satuan,tahun
136,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 1,0,UNIT,2015
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 2,1,UNIT,2015
138,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 3,1,UNIT,2015
139,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 4,1,UNIT,2015
140,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BINTANG 5,0,UNIT,2015
141,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 1,2,UNIT,2015
142,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 2,6,UNIT,2015
143,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 3,3,UNIT,2015
144,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 4,3,UNIT,2015
145,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BINTANG 5,0,UNIT,2015
146,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 1,2,UNIT,2015
147,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 2,0,UNIT,2015
148,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 3,0,UNIT,2015
149,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 4,1,UNIT,2015
150,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BINTANG 5,0,UNIT,2015
151,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 1,0,UNIT,2015
152,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 2,4,UNIT,2015
153,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 3,1,UNIT,2015
154,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 4,1,UNIT,2015
155,32,JAWA BARAT,3205,KABUPATEN GARUT,BINTANG 5,0,UNIT,2015
156,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BINTANG 1,0,UNIT,2015
157,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BINTANG 2,0,UNIT,2015
158,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BINTANG 3,0,UNIT,2015
159,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BINTANG 4,0,UNIT,2015
160,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BINTANG 5,0,UNIT,2015
161,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BINTANG 1,0,UNIT,2015
162,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BINTANG 2,0,UNIT,2015
163,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BINTANG 3,0,UNIT,2015
164,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BINTANG 4,0,UNIT,2015
165,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BINTANG 5,0,UNIT,2015
166,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BINTANG 1,1,UNIT,2015
167,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BINTANG 2,1,UNIT,2015
168,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BINTANG 3,2,UNIT,2015
169,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BINTANG 4,0,UNIT,2015
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BINTANG 5,0,UNIT,2015
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,BINTANG 1,1,UNIT,2015
172,32,JAWA BARAT,3209,KABUPATEN CIREBON,BINTANG 2,0,UNIT,2015
173,32,JAWA BARAT,3209,KABUPATEN CIREBON,BINTANG 3,2,UNIT,2015
174,32,JAWA BARAT,3209,KABUPATEN CIREBON,BINTANG 4,1,UNIT,2015
175,32,JAWA BARAT,3209,KABUPATEN CIREBON,BINTANG 5,0,UNIT,2015
176,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BINTANG 1,0,UNIT,2015
177,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BINTANG 2,0,UNIT,2015
178,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BINTANG 3,0,UNIT,2015
179,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BINTANG 4,0,UNIT,2015
180,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BINTANG 5,0,UNIT,2015
181,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BINTANG 1,0,UNIT,2015
182,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BINTANG 2,1,UNIT,2015
